code,name,shares,weight,price,change_percent,amount,margin_ratio,market_cap,volatility,monthly_revenue,revenue_yoy,revenue_mom,revenue_momentum_rank,is_high_5d,is_high_20d,is_high_200d,currency
2330,台積電,5428000,9.49,1810.0,-2.4258760107816713,53540295381.0,0.41,46937869345000.0,4.636659436008677,,,,,False,False,False,TWD
2383,台光電,2807000,7.55,2785.0,-2.6223776223776225,11863395991.0,2.05,997924263500.0,11.37042569081404,,,,,False,False,False,TWD
3017,奇鋐,3026000,6.05,2070.0,-1.8957345971563981,6506852315.0,3.5,824424696000.0,10.669722434428316,,,,,False,False,False,TWD
2308,台達電,4379000,6.05,1430.0,-3.050847457627119,14489054481.0,0.83,3714486919000.0,9.188712522045856,,,,,False,False,False,TWD
2368,金像電,6607000,5.78,905.0,-4.334038054968287,9468613609.0,4.09,462028654500.0,11.149228130360205,,,,,False,False,False,TWD
3653,健策,1595000,5.72,3710.0,-6.075949367088607,6259854758.0,4.79,544378688000.0,11.796427367711493,,,,,False,False,False,TWD
3665,貿聯-KY,3052848,5.65,1915.0,0.2617801047120419,9730963570.0,4.91,374227193500.0,11.56218619997131,,,,,True,True,True,TWD
2345,智邦,3646000,5.6,1590.0,-4.216867469879518,5422781290.0,1.31,892177461000.0,9.823310098881505,,,,,False,False,False,TWD
6223,旺矽,1414000,5.14,3765.0,-4.6835443037974684,4690005555.0,3.87,368899594500.0,10.784934882083773,,,,,False,False,False,TWD
8046,南電,6895000,3.78,568.0,-1.0452961672473868,27952637013.0,5.08,367022004000.0,14.534191088873005,4290690.0,39.03,32.14,0.6262626262626263,False,False,False,TWD
3037,欣興,7410000,3.71,519.0,6.24360286591607,25957223443.0,8.65,882457308900.0,12.545976721922708,,,,,True,False,False,TWD
5274,信驊,318000,3.59,11690.0,3.314184710561202,4107648575.0,1.03,441913563000.0,11.74376412058696,,,,,True,False,False,TWD
2327,國巨*,11083000,2.63,246.0,-2.1868787276341948,3409279741.0,6.93,509949636000.0,8.620026907553335,,,,,False,False,False,TWD
3711,日月光投控,6159000,2.15,361.0,0.0,8925309806.0,0.39,1605719624800.0,8.716196568769991,,,,,True,True,False,TWD
6805,富世達,1130000,2.06,1885.0,-2.0779220779220777,3289333900.0,7.75,129224101500.0,11.510791366906476,,,,,False,False,False,TWD
2449,京元電子,7512000,1.88,259.0,-7.66488413547237,7663602719.0,3.71,316690980900.0,9.372834372834372,,,,,False,False,False,TWD
6510,精測,604000,1.85,3165.0,-5.663189269746647,1922813120.0,6.06,103777185000.0,13.875907685671148,487462.0,25.51,17.79,0.7676767676767676,False,False,False,TWD
6515,穎崴,268000,1.71,6605.0,-9.396433470507544,2918500355.0,3.95,238054768000.0,13.774204016875203,,,,,False,False,False,TWD
1303,南亞,19743000,1.47,77.1,-2.033036848792895,5508651761.0,2.56,611466345359.9999,11.527286508337548,,,,,False,False,False,TWD
3211,順達,4086000,1.31,332.0,-5.815602836879433,2080996606.0,15.68,51235169600.0,11.281972026891276,1468139.0,76.33,41.54,0.2727272727272727,False,False,False,TWD
6274,台燿,1773000,1.06,621.0,-0.32102728731942215,10981312152.0,11.56,179291518200.0,11.957774397271006,,,,,False,False,False,TWD
3189,景碩,2657000,0.86,336.0,1.2048192771084338,2783962388.0,21.19,153482112000.0,15.242652084757346,3939324.0,25.05,28.83,0.7070707070707071,False,False,False,TWD
6139,亞翔,1559000,0.78,521.0,-0.7619047619047619,1282201338.0,8.04,122692634500.0,9.780278670953912,,,,,False,False,False,TWD
3661,世芯-KY,275000,0.72,2705.0,-0.9157509157509158,6343803222.0,30.35,219872138000.0,9.072482568509809,,,,,False,False,False,TWD
2454,聯發科,508000,0.72,1465.0,0.0,13658631065.0,1.59,2349731373000.0,6.83371298405467,,,,,False,False,False,TWD
5347,世界,5845000,0.62,110.0,-6.779661016949152,2926601110.0,2.68,205378602000.0,10.051880674448768,,,,,False,False,False,TWD
3443,創意,267000,0.6,2320.0,-1.48619957537155,4014288855.0,8.41,310907608000.0,10.133863208533779,,,,,False,False,False,TWD
6488,環球晶,1330000,0.53,409.5,-0.9673518742442563,1433225057.0,3.47,195787560150.0,8.818401664698275,,,,,False,False,False,TWD
2404,漢唐,595000,0.48,829.0,-0.5995203836930456,2206771844.0,6.92,157996374300.0,8.44066722972973,,,,,False,False,False,TWD
3264,欣銓,2870000,0.45,161.0,-3.0120481927710845,3441045057.0,7.53,78917386100.0,10.160866710439919,,,,,False,False,False,TWD
8996,高力,515000,0.43,866.0,-4.6255506607929515,3864658750.0,20.19,80090191400.0,11.663757998836532,,,,,False,False,False,TWD
8358,金居,1955000,0.43,230.0,-5.349794238683128,3522759603.0,36.76,58095240000.0,12.829835861209224,,,,,False,False,False,TWD
1326,台化,9001000,0.39,44.95,-0.7726269315673164,1089780322.0,1.39,263460324185.00003,10.11784511784512,,,,,False,False,False,TWD
8210,勤誠,480000,0.39,841.0,-6.451612903225806,4897777746.0,12.41,105393447200.0,7.272012578616352,,,,,False,False,False,TWD
4979,華星光,1037000,0.38,384.0,2.263648468708389,503429980.0,26.17,54165619200.0,13.181406189304676,,,,,False,False,False,TWD
6187,萬潤,388000,0.34,895.0,0.44893378226711567,674626831.0,8.79,86928575500.0,13.872529773589845,,,,,False,False,False,TWD
6191,精成科,3402000,0.29,88.3,-2.7533039647577096,263313153.0,16.66,44088454900.0,7.44821042644036,,,,,False,False,False,TWD
3376,新日興,1428000,0.26,187.5,-4.336734693877551,965611421.0,27.65,36705712500.0,9.884778653729533,,,,,False,False,False,TWD
6669,緯穎,76000,0.25,3410.0,-0.29239766081871343,4492280295.0,5.91,633717128000.0,7.542659849943563,,,,,False,False,False,TWD
2481,強茂,1636000,0.15,95.1,7.336343115124154,3489611031.0,13.86,36339126989.99999,11.158184610496216,,,,,False,False,False,TWD
3324,雙鴻,160000,0.14,910.0,-1.0869565217391304,2518461960.0,28.39,84698068000.0,11.23956971951342,,,,,False,False,False,TWD
